Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / 0.0.0.0 > 224.0.0.1 igmp / Raw
Ether / 0.0.0.0 > 224.0.0.1 igmp / Raw
Ether / 0.0.0.0 > 224.0.0.1 igmp / Raw
Ether / fe80::1 > ff02::1 (0) / IPv6ExtHdrHopByHop / ICMPv6MLQuery
Ether / fe80::1 > ff02::1 (0) / IPv6ExtHdrHopByHop / ICMPv6MLQuery
Ether / fe80::1 > ff02::1 (0) / IPv6ExtHdrHopByHop / ICMPv6MLQuery
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https FA
Ether / ARP who has 192.168.1.5 says 192.168.1.1
Ether / ARP is at f6:99:37:ac:b8:c2 says 192.168.1.5
Ether / IP / TCP 192.168.1.5:64312 > 17.8.135.30:https S
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 FA
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https A
Ether / IP / TCP 192.168.1.5:64312 > 17.8.135.30:https S
Ether / IP / TCP 192.168.1.5:64312 > 17.8.135.30:https S
[2025-07-22 13:16:59] OTHER | N/A:N/A -> N/A:N/A
[2025-07-22 13:17:00] OTHER | N/A:N/A -> N/A:N/A
[2025-07-22 13:17:00] UDP | 192.168.1.5:60129 -> 17.253.18.229:443
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 192.168.1.5:60129 -> 17.253.18.229:443
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:17:00] UDP | 192.168.1.5:60129 -> 17.253.18.229:443
[2025-07-22 13:17:00] UDP | 192.168.1.5:55890 -> 17.253.18.251:443
[2025-07-22 13:17:00] UDP | 192.168.1.5:55890 -> 17.253.18.251:443
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 192.168.1.5:55890 -> 17.253.18.251:443
[2025-07-22 13:17:00] UDP | 192.168.1.5:55890 -> 17.253.18.251:443
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 192.168.1.5:55890 -> 17.253.18.251:443
[2025-07-22 13:17:00] UDP | 192.168.1.5:55890 -> 17.253.18.251:443
[2025-07-22 13:17:00] UDP | 192.168.1.5:55890 -> 17.253.18.251:443
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
